id,pt_desc1,pt_desc2,pt_um,pt_prod_line,pt_vend
129885077-F,BA/EE25-3/4-V-F,,P,W001,NULL
129885077-WC,BA/EE25-3/4-V-WC,,P,W001,NULL
129885078,HTK-ARD01-V,SWT-B1,P,FT01,NULL
129885078-F,HTK-ARD01-V-F,,P,W001,NULL
129885078-WC,HTK-ARD01-V-WC,,P,W001,NULL
129885079,HTK-CT01-V,SWT-A1,P,FT01,NULL
129885079-F,HTK-CT01-V-F,,P,W001,NULL
129885079-WC,HTK-CT01-V-WC,,P,W001,NULL
129885081,HTK-IVT100CK-V,SWT-A1,P,FT01,NULL
129885081-F,HTK-IVT100CK-V-F,,P,W001,NULL
129885081-WC,HTK-IVT100CK-V-WC,,P,W001,NULL
129895060,TF-FMR-IP5-V,SWT-C1,P,FT01,NULL
129895060-F,TF-FMR-IP5-V-F,,P,W001,NULL
129895060-WC,TF-FMR-IP5-V-WC,,P,W001,NULL
129995027,4DE74061-1-V,SWT-B4,P,FT01,NULL
129995027-F,4DE74061-1-V-F,,P,W001,NULL
129995027-WC,4DE74061-1-V-WC,,P,W001,NULL
129995030,PA050CA-1-T-V,SWT-A1,P,FT01,NULL
129995030-F,PA050CA-1-T-V-F,,P,W001,NULL
129995030-WC,PA050CA-1-T-V-WC,,P,W001,NULL
129995031,S006-V,SWT-C3,P,FT01,NULL
129995031-F,S006-V-F,,P,W001,NULL
129995031-WC,S006-V-WC,,P,W001,NULL
129995032,EPL21DS199-7-V,SWT-B1,P,FT01,NULL
129995032-F,EPL21DS199-7-V-F,,P,W001,NULL
129995032-WC,EPL21DS199-7-V-WC,,P,W001,NULL
129995033,EPL21DS198-7-V,SWT-B1,P,FT01,NULL
129995033-F,EPL21DS198-7-V-F,,P,W001,NULL
129995033-WC,EPL21DS198-7-V-WC,,P,W001,NULL
129995034,EPL21DS188-7-V,SWT-B1,P,FT01,NULL
129995034-F,EPL21DS188-7-V-F,,P,W001,NULL
129995034-WC,EPL21DS188-7-V-WC,,P,W001,NULL
129995035,EPL21DS213-7-V,SWT-B2,P,FT01,NULL
129995035-F,EPL21DS213-7-V-F,,P,W001,NULL
129995035-WC,EPL21DS213-7-V-WC,,P,W001,NULL
129995036,EPL21DS212-7-V,SWT-B1,P,FT01,NULL
129995036-F,EPL21DS212-7-V-F,,P,W001,NULL
129995036-WC,EPL21DS212-7-V-WC,,P,W001,NULL
129995040,EPL21DS176-7E-V,SWT-B2,P,FT01,NULL
129995040-F,EPL21DS176-7E-V-F,,P,W001,NULL
129995040-WC,EPL21DS176-7E-V-WC,,P,W001,NULL
129995041,EPL21DS182-7E-V,SWT-B2,P,FT01,NULL
129995041-F,EPL21DS182-7E-V-F,,P,W001,NULL
129995041-WC,EPL21DS182-7E-V-WC,,P,W001,NULL
129995042,EPL21DS177-7F-V,SWT-B2,P,FT01,NULL
129995042-F,EPL21DS177-7F-V-F,,P,W001,NULL
129995042-WC,EPL21DS177-7F-V-WC,,P,W001,NULL
129995043,EPL21DS202-7E-V,SWT-B1,P,FT01,NULL
129995043-F,EPL21DS202-7E-V-F,,P,W001,NULL
129995043-WC,EPL21DS202-7E-V-WC,,P,W001,NULL
129995047,EPL21DS205-7E-V,SWT-B1,P,FT01,NULL
129995047-F,EPL21DS205-7E-V-F,,P,W001,NULL
129995047-WC,EPL21DS205-7E-V-WC,,P,W001,NULL
129995048,EPL21DS207-7E-V,SWT-B2,P,FT01,NULL
129995048-F,EPL21DS207-7E-V-F,,P,W001,NULL
129995048-WC,EPL21DS207-7E-V-WC,,P,W001,NULL
129995051,N-T01-824-Z11-V,SWT-B2,P,FT01,NULL
129995051-F,N-T01-824-Z11-V-F,,P,W001,NULL
129995051-WC,N-T01-824-Z11-V-WC,,P,W001,NULL
129995055,ZT0999-2-V,SWT-C1,P,FT01,NULL
129995055-F,ZT0999-2-V-F,,P,W001,NULL
129995055-WC,ZT0999-2-V-WC,,P,W001,NULL
129995056,ZT0904-11-V,SWT-C2,P,FT01,NULL
129995056-F,ZT0904-11-V-F,,P,W001,NULL
129995056-WC,ZT0904-11-V-WC,,P,W001,NULL
129995063,ZT0622-R0-V,SWT-C1,P,FT01,NULL
129995063-F,ZT0622-R0-V-F,,P,W001,NULL
129995063-WC,ZT0622-R0-V-WC,,P,W001,NULL
129995065,EPL2621DS1-7A-V,SWT-A1,P,FT01,NULL
129995065-F,EPL2621DS1-7A-V-F,,P,W001,NULL
129995065-WC,EPL2621DS1-7A-V-WC,,P,W001,NULL
129995066,FP2594A-501-V,SWT-B2,P,FT01,NULL
129995066-F,FP2594A-501-V-F,,P,W001,NULL
129995066-WC,FP2594A-501-V-WC,,P,W001,NULL
130015148,PTTX149-V,SWT-C2,P,FT01,NULL
130015148-F,PTTX149-V-F,,P,W001,NULL
130015148-WC,PTTX149-V-WC,,P,W001,NULL
130015149,PTTJ177-V,SWT-A2,P,FT01,NULL
130015149-F,PTTJ177-V-F,,P,W001,NULL
130015149-WC,PTTJ177-V-WC,,P,W001,NULL
130015150,PTTJ166-V,SWT-A2,P,FT01,NULL
130015150-F,PTTJ166-V-F,,P,W001,NULL
130015150-WC,PTTJ166-V-WC,,P,W001,NULL
130015153,PTTJ160-V,SWT-A2,P,FT01,NULL
130015153-F,PTTJ160-V-F,,P,W001,NULL
130015153-WC,PTTJ160-V-WC,,P,W001,NULL
130015154,PTTJ146-V,SWT-A1,P,FT01,NULL
130015154-F,PTTJ146-V-F,,P,W001,NULL
130015154-WC,PTTJ146-V-WC,,P,W001,NULL
130015155,CHT139-V,SWT-A1,P,FT01,NULL
130015155-F,CHT139-V-F,,P,W001,NULL
130015155-WC,CHT139-V-WC,,P,W001,NULL
130015156,CHT152-V,SWT-A1,P,FT01,NULL
130015156-F,CHT152-V-F,,P,W001,NULL
130015156-WC,CHT152-V-WC,,P,W001,NULL
130015157,PTTX166-V,SWT-A1,P,FT01,NULL
130015157-F,PTTX166-V-F,,P,W001,NULL
130015157-WC,PTTX166-V-WC,,P,W001,NULL
130015159,CHT159-V,SWT-A1,P,FT01,NULL
130015159-F,CHT159-V-F,,P,W001,NULL
130015159-WC,CHT159-V-WC,,P,W001,NULL
130015161,PTTJ181-V,SWT-B2,P,FT01,NULL
130015161-F,PTTJ181-V-F,,P,W001,NULL
130015161-WC,PTTJ181-V-WC,,P,W001,NULL
130015163,CHT163-V,SWT-A1,P,FT01,NULL
130015163-F,CHT163-V-F,,P,W001,NULL
130015163-WC,CHT163-V-WC,,P,W001,NULL
130015165,PTTX172-V,SWT-A3,P,FT01,NULL
130015165-F,PTTX172-V-F,,P,W001,NULL
130015165-WC,PTTX172-V-WC,,P,W001,NULL
130015169,68-CA91A-V,SWT-B1,P,FT01,NULL
130015169-F,68-CA91A-V-F,,P,W001,NULL
130015169-WC,68-CA91A-V-WC,,P,W001,NULL
130015170,68-CA60A-V,SWT-B1,P,FT01,NULL
130015170-F,68-CA60A-V-F,,P,W001,NULL
130015170-WC,68-CA60A-V-WC,,P,W001,NULL
130015171,68-CA61A-V,SWT-B2,P,FT01,NULL
130015171-F,68-CA61A-V-F,,P,W001,NULL
130015171-WC,68-CA61A-V-WC,,P,W001,NULL
130015172,68-CA88A-V,SWT-A1,P,FT01,NULL
130015172-F,68-CA88A-V-F,,P,W001,NULL
130015172-WC,68-CA88A-V-WC,,P,W001,NULL
130015173,CHT165-V,SWT-A1,P,FT01,NULL
130015173-F,CHT165-V-F,,P,W001,NULL
130015173-WC,CHT165-V-WC,,P,W001,NULL
130015175,PTTJ187-V,SWT-B2,P,FT01,NULL
130015175-F,PTTJ187-V-F,,P,W001,NULL
130015175-WC,PTTJ187-V-WC,,P,W001,NULL
130015177,PTTJ185-V,SWT-A2,P,FT01,NULL
130015177-F,PTTJ185-V-F,,P,W001,NULL
130015177-WC,PTTJ185-V-WC,,P,W001,NULL
130015178,PTTJ183-V,SWT-A2,P,FT01,NULL
130015178-F,PTTJ183-V-F,,P,W001,NULL
130015178-WC,PTTJ183-V-WC,,P,W001,NULL
130015179,PTTJ149-V,SWT-A2,P,FT01,NULL
130015179-F,PTTJ149-V-F,,P,W001,NULL
130015179-WC,PTTJ149-V-WC,,P,W001,NULL
130015180,PTTJ189-V,SWT-B1,P,FT01,NULL
130015180-F,PTTJ189-V-F,,P,W001,NULL
130015180-WC,PTTJ189-V-WC,,P,W001,NULL
130015181,CHT167-V,SWT-A1,P,FT01,NULL
130015181-F,CHT167-V-F,,P,W001,NULL
130015181-WC,CHT167-V-WC,,P,W001,NULL
130015182,87350054-V,SWT-A2,P,FT01,NULL
130015182-F,87350054-V-F,,P,W001,NULL
130015182-WC,87350054-V-WC,,P,W001,NULL
130015183,87350064-V,SWT-B2,P,FT01,NULL
130015183-F,87350064-V-F,,P,W001,NULL
130015183-WC,87350064-V-WC,,P,W001,NULL
130015184,81351144-V,SWT-B2,P,FT01,NULL
130015184-F,81351144-V-F,,P,W001,NULL
130015184-WC,81351144-V-WC,,P,W001,NULL
130015185,PTTX180-V,SWT-B1,P,FT01,NULL
130015185-F,PTTX180-V-F,,P,W001,NULL
130015185-WC,PTTX180-V-WC,,P,W001,NULL
130015187,PTTX181-V,SWT-B1,P,FT01,NULL
130015187-F,PTTX181-V-F,,P,W001,NULL
130015187-WC,PTTX181-V-WC,,P,W001,NULL
130015189,87350014-V,SWT-A2,P,FT01,NULL
130015189-F,87350014-V-F,,P,W001,NULL
130015189-WC,87350014-V-WC,,P,W001,NULL
130015191,CHT176-V,SWT-A1,P,FT01,NULL
130015191-F,CHT176-V-F,,P,W001,NULL
130015191-WC,CHT176-V-WC,,P,W001,NULL
130015193,CHT177-V,SWT-A1,P,FT01,NULL
130015193-F,CHT177-V-F,,P,W001,NULL
130015193-WC,CHT177-V-WC,,P,W001,NULL
130015194,PTTX183-V,SWT-A2,P,FT01,NULL
130015194-F,PTTX183-V-F,,P,W001,NULL
130015194-WC,PTTX183-V-WC,,P,W001,NULL
130015196,81351164-V,SWT-B3,P,FT01,NULL
130015196-F,81351164-V-F,,P,W001,NULL
130015196-WC,81351164-V-WC,,P,W001,NULL
130015197,PTTJ192-V,SWT-B2,P,FT01,NULL
130015197-F,PTTJ192-V-F,,P,W001,NULL
130015197-WC,PTTJ192-V-WC,,P,W001,NULL
130015199,PTTX188-V,SWT-B2,P,FT01,NULL
130015199-F,PTTX188-V-F,,P,W001,NULL
130015199-WC,PTTX188-V-WC,,P,W001,NULL
130015201,CHT182-V,SWT-A1,P,FT01,NULL
130015201-F,CHT182-V-F,,P,W001,NULL
130015201-WC,CHT182-V-WC,,P,W001,NULL
130015202,81351154-V,SWT-B2,P,FT01,NULL
130015202-F,81351154-V-F,,P,W001,NULL
130015202-WC,81351154-V-WC,,P,W001,NULL
130015203,PTTX184-V,SWT-B1,P,FT01,NULL
130015203-F,PTTX184-V-F,,P,W001,NULL
130015203-WC,PTTX184-V-WC,,P,W001,NULL
130015206,CHT178-V,SWT-C1,P,FT01,NULL
130015206-F,CHT178-V-F,,P,W001,NULL
130015206-WC,CHT178-V-WC,,P,W001,NULL
130015208,PTTX187-V,SWT-B2,P,FT01,NULL
130015208-F,PTTX187-V-F,,P,W001,NULL
130015208-WC,PTTX187-V-WC,,P,W001,NULL
130015209,CHT183-V,SWT-A1,P,FT01,NULL
130015209-F,CHT183-V-F,,P,W001,NULL
130015209-WC,CHT183-V-WC,,P,W001,NULL
130015210,81351184-V,SWT-B2,P,FT01,NULL
130015210-F,81351184-V-F,,P,W001,NULL
130015210-WC,81351184-V-WC,,P,W001,NULL
130015216,PTTJ199-V,SWT-B1,P,FT01,NULL
130015216-F,PTTJ199-V-F,,P,W001,NULL
130015216-WC,PTTJ199-V-WC,,P,W001,NULL
130015217,81351194-V,SWT-B2,P,FT01,NULL
130015217-F,81351194-V-F,,P,W001,NULL
130015217-WC,81351194-V-WC,,P,W001,NULL
130015222,81351204-V,SWT-B2,P,FT01,NULL
130015222-F,81351204-V-F,,P,W001,NULL
130015222-WC,81351204-V-WC,,P,W001,NULL
130015225,G4DYA0000269-V,SWT-B1,P,FT01,NULL
130015225-F,G4DYA0000269-V-F,,P,W001,NULL
130015225-WC,G4DYA0000269-V-WC,,P,W001,NULL
130015230,87350084-V,SWT-A2,P,FT01,NULL
130015230-F,87350084-V-F,,P,W001,NULL
130015230-WC,87350084-V-WC,,P,W001,NULL
130015231,F3000004-V,SWT-A1,P,FT01,NULL
130015231-F,F3000004-V-F,,P,W001,NULL
130015231-WC,F3000004-V-WC,,P,W001,NULL
130015235,87350094-V,SWT-A2,P,FT01,NULL
130015235-F,87350094-V-F,,P,W001,NULL
130015235-WC,87350094-V-WC,,P,W001,NULL
130015236,813512A4-V,SWT-B2,P,FT01,NULL
130015236-F,813512A4-V-F,,P,W001,NULL
130015236-WC,813512A4-V-WC,,P,W001,NULL
130015237,G4DYA0000337-V,SWT-B1,P,FT01,NULL
130015237-F,G4DYA0000337-V-F,,P,W001,NULL
130015237-WC,G4DYA0000337-V-WC,,P,W001,NULL
130015241,PTTX195-V,SWT-B1,P,FT01,NULL
130015241-F,PTTX195-V-F,,P,W001,NULL
130015241-WC,PTTX195-V-WC,,P,W001,NULL
130015243,PTTX196-V,SWT-B2,P,FT01,NULL
130015243-F,PTTX196-V-F,,P,W001,NULL
130015243-WC,PTTX196-V-WC,,P,W001,NULL
130015245,CHT190-V,SWT-A1,P,FT01,NULL
130015245-F,CHT190-V-F,,P,W001,NULL
130015245-WC,CHT190-V-WC,,P,W001,NULL
130015247,PTTX198-V,SWT-B1,P,FT01,NULL
130015247-F,PTTX198-V-F,,P,W001,NULL
130015247-WC,PTTX198-V-WC,,P,W001,NULL
130015253,C-L00-428-Z11-V,SWT-A1,P,FT01,NULL
130015253-F,C-L00-428-Z11-V-F,,P,W001,NULL
130015253-WC,C-L00-428-Z11-V-WC,,P,W001,NULL
130015264,CHT199-V,SWT-A1,P,FT01,NULL
130015264-F,CHT199-V-F,,P,W001,NULL
130015264-WC,CHT199-V-WC,,P,W001,NULL
130015266,PTTJ219-V,SWT-A1,P,FT01,NULL
130015266-F,PTTJ219-V-F,,P,W001,NULL
130015266-WC,PTTJ219-V-WC,,P,W001,NULL
130015269,CHT201-V,SWT-A1,P,FT01,NULL
130015269-F,CHT201-V-F,,P,W001,NULL
130015269-WC,CHT201-V-WC,,P,W001,NULL
130015274,G4DYA0000368-V,SWT-A1,P,FT01,NULL
130015274-F,G4DYA0000368-V-F,,P,W001,NULL
130015274-WC,G4DYA0000368-V-WC,,P,W001,NULL
130015275,81351214-V,SWT-B1,P,FT01,NULL
130015275-F,81351214-V-F,,P,W001,NULL
130015275-WC,81351214-V-WC,,P,W001,NULL
130015276,PTTJ193-V,SWT-A1,P,FT01,NULL
130015276-F,PTTJ193-V-F,,P,W001,NULL
130015276-WC,PTTJ193-V-WC,,P,W001,NULL
130015277,PTTJ201-V,SWT-A1,P,FT01,NULL
130015277-F,PTTJ201-V-F,,P,W001,NULL
130015277-WC,PTTJ201-V-WC,,P,W001,NULL
130015278,PTTJ206-V,SWT-B1,P,FT01,NULL
130015278-F,PTTJ206-V-F,,P,W001,NULL
130015278-WC,PTTJ206-V-WC,,P,W001,NULL
130015283,PTTX118-V-HFB,SWT-B2,P,FT01,NULL
130015283-F,PTTX118-V-HFB-F,,P,W001,NULL
130015283-WC,PTTX118-V-HFB-WC,,P,W001,NULL
130015285,CHT189-V,SWT-B1,P,FT01,NULL
130015285-F,CHT189-V-F,,P,W001,NULL
130015285-WC,CHT189-V-WC,,P,W001,NULL
130015292,PTTX204-V,SWT-A1,P,FT01,NULL
130015292-F,PTTX204-V-F,,P,W001,NULL
130015292-WC,PTTX204-V-WC,,P,W001,NULL
130015294,81320034-V,SWT-B2,P,FT01,NULL
130015294-F,81320034-V-F,,P,W001,NULL
130015294-WC,81320034-V-WC,,P,W001,NULL
130015295,81351234-V,SWT-B2,P,FT01,NULL
130015295-F,81351234-V-F,,P,W001,NULL
130015295-WC,81351234-V-WC,,P,W001,NULL
130015296,81320044-V,SWT-B1,P,FT01,NULL
130015296-F,81320044-V-F,,P,W001,NULL
130015296-WC,81320044-V-WC,,P,W001,NULL
130015297,81351244-V,SWT-B2,P,FT01,NULL
130015297-F,81351244-V-F,,P,W001,NULL
130015297-WC,81351244-V-WC,,P,W001,NULL
130015298,81351254-V,SWT-B2,P,FT01,NULL
130015298-F,81351254-V-F,,P,W001,NULL
130015298-WC,81351254-V-WC,,P,W001,NULL
130015299,81351264-V,SWT-B2,P,FT01,NULL
130015299-F,81351264-V-F,,P,W001,NULL
130015299-WC,81351264-V-WC,,P,W001,NULL
130015300,EPL21QS084-7-V,SWT-B1,P,FT01,NULL
130015300-F,EPL21QS084-7-V-F,,P,W001,NULL
130015300-WC,EPL21QS084-7-V-WC,,P,W001,NULL
130015301,EPL21QS085-7-V,SWT-B1,P,FT01,NULL
130015301-F,EPL21QS085-7-V-F,,P,W001,NULL
130015301-WC,EPL21QS085-7-V-WC,,P,W001,NULL
130015302,81351274-V,SWT-B2,P,FT01,NULL
130015302-F,81351274-V-F,,P,W001,NULL
130015302-WC,81351274-V-WC,,P,W001,NULL
130015303,87350104-V,SWT-A2,P,FT01,NULL
130015303-F,87350104-V-F,,P,W001,NULL
130015303-WC,87350104-V-WC,,P,W001,NULL
130015304,87350114-V,SWT-A2,P,FT01,NULL
130015304-F,87350114-V-F,,P,W001,NULL
130015304-WC,87350114-V-WC,,P,W001,NULL
130015305,CHT163-VV,SWT-A1,P,FT01,NULL
130015305-F,CHT163-VV-F,,P,W001,NULL
130015305-WC,CHT163-VV-WC,,P,W001,NULL
130015306,81351284-V,SWT-B2,P,FT01,NULL
130015306-F,81351284-V-F,,P,W001,NULL
130015306-WC,81351284-V-WC,,P,W001,NULL
130015307,LTT3PJ0ZB001-V,SWT-B1,P,FT01,NULL
130015307-F,LTT3PJ0ZB001-V-F,,P,W001,NULL
130015307-WC,LTT3PJ0ZB001-V-WC,,P,W001,NULL
130015308,LTT3PJ0ZB002-V,SWT-B1,P,FT01,NULL
130015308-F,LTT3PJ0ZB002-V-F,,P,W001,NULL
130015308-WC,LTT3PJ0ZB002-V-WC,,P,W001,NULL
130015310,LTT3PJ0ZB003-V,SWT-B1,P,FT01,NULL
130015310-F,LTT3PJ0ZB003-V-F,,P,W001,NULL
130015310-WC,LTT3PJ0ZB003-V-WC,,P,W001,NULL
130015311,LTT3PJ0ZB005-V,SWT-B2,P,FT01,NULL
130015311-F,LTT3PJ0ZB005-V-F,,P,W001,NULL
130015311-WC,LTT3PJ0ZB005-V-WC,,P,W001,NULL
130015312,LTT3PJ0ZB006-V,SWT-B1,P,FT01,NULL
130015312-F,LTT3PJ0ZB006-V-F,,P,W001,NULL
130015312-WC,LTT3PJ0ZB006-V-WC,,P,W001,NULL
130015313,LTT3PJ0ZB007-V,SWT-B2,P,FT01,NULL
130015313-F,LTT3PJ0ZB007-V-F,,P,W001,NULL
130015313-WC,LTT3PJ0ZB007-V-WC,,P,W001,NULL
130015314,LTT3PZ0ZB008-V,SWT-B2,P,FT01,NULL
130015314-F,LTT3PZ0ZB008-V-F,,P,W001,NULL
130015314-WC,LTT3PZ0ZB008-V-WC,,P,W001,NULL
130015315,LTT3PC0ZB009-V,SWT-B2,P,FT01,NULL
130015315-F,LTT3PC0ZB009-V-F,,P,W001,NULL
130015315-WC,LTT3PC0ZB009-V-WC,,P,W001,NULL
130015316,LTT3PC0ZB010-V,SWT-B2,P,FT01,NULL
130015316-F,LTT3PC0ZB010-V-F,,P,W001,NULL
130015316-WC,LTT3PC0ZB010-V-WC,,P,W001,NULL
130015317,LTT3PC0ZB011-V,SWT-B1,P,FT01,NULL
130015317-F,LTT3PC0ZB011-V-F,,P,W001,NULL
130015317-WC,LTT3PC0ZB011-V-WC,,P,W001,NULL
130195053,N-T01-764-Z11-V,SWT-B2,P,FT01,NULL
130195053-F,N-T01-764-Z11-V-F,,P,W001,NULL
130195053-WC,N-T01-764-Z11-V-WC,,P,W001,NULL
130195054,BT02441-V,SWT-B1,P,FT01,NULL
130195054-F,BT02441-V-F,,P,W001,NULL
130195054-WC,BT02441-V-WC,,P,W001,NULL
130195056,N-T01-770-Z11-V,SWT-B4,P,FT01,NULL
130195056-F,N-T01-770-Z11-V-F,,P,W001,NULL
130195056-WC,N-T01-770-Z11-V-WC,,P,W001,NULL
130195057,81350994-V,SWT-B3,P,FT01,NULL
130195057-F,81350994-V-F,,P,W001,NULL
130195057-WC,81350994-V-WC,,P,W001,NULL
130205022,CHT132-V,SWT-A2,P,FT01,NULL
130205022-F,CHT132-V-F,,P,W001,NULL
130205022-WC,CHT132-V-WC,,P,W001,NULL
130205023,RTRNWA318WJZZ-V,SWT-B3,P,FT01,NULL
130205023-F,RTRNWA318WJZZ-V-F,,P,W001,NULL
130205023-WC,RTRNWA318WJZZ-V-WC,,P,W001,NULL
130205024,PTTX142-V,SWT-B2,P,FT01,NULL
130205024-F,PTTX142-V-F,,P,W001,NULL
130205024-WC,PTTX142-V-WC,,P,W001,NULL
130205025,PTTX118-V,SWT-B2,P,FT01,NULL
130205025-F,PTTX118-V-F,,P,W001,NULL
130205025-WC,PTTX118-V-WC,,P,W001,NULL
130205027,CHT169-V,SWT-A1,P,FT01,NULL
130205027-F,CHT169-V-F,,P,W001,NULL
130205027-WC,CHT169-V-WC,,P,W001,NULL
130205029,CHT170-V,SWT-A1,P,FT01,NULL
130205029-F,CHT170-V-F,,P,W001,NULL
130205029-WC,CHT170-V-WC,,P,W001,NULL
130205030,C-L00-439-Z11-V,SWT-A1,P,FT01,NULL
130205030-F,C-L00-439-Z11-V-F,,P,W001,NULL
130205030-WC,C-L00-439-Z11-V-WC,,P,W001,NULL
130205032,N-T01-838-Z11-V,SWT-B3,P,FT01,NULL
130205032-F,N-T01-838-Z11-V-F,,P,W001,NULL
130205032-WC,N-T01-838-Z11-V-WC,,P,W001,NULL
130205033,RCILCA220WJZZ-V,SWT-A1,P,FT01,NULL
130205033-F,RCILCA220WJZZ-V-F,,P,W001,NULL
130205033-WC,RCILCA220WJZZ-V-WC,,P,W001,NULL
130205038,G4DYA0000433-V,SWT-B1,P,FT01,NULL
130205038-F,G4DYA0000433-V-F,,P,W001,NULL
130205038-WC,G4DYA0000433-V-WC,,P,W001,NULL
130205039,G4DYA0000434-V,SWT-B2,P,FT01,NULL
130205039-F,G4DYA0000434-V-F,,P,W001,NULL
130205039-WC,G4DYA0000434-V-WC,,P,W001,NULL
130205040,G4DYA0000607-V,SWT-A2,P,FT01,NULL
130205040-F,G4DYA0000607-V-F,,P,W001,NULL
130205040-WC,G4DYA0000607-V-WC,,P,W001,NULL
130225001,PTTX214-V,SWT-B2,P,FT01,NULL
130225001-F,PTTX214-V-F,,P,W001,NULL
130225001-WC,PTTX214-V-WC,,P,W001,NULL
130225002,CHT215-V,SWT-B1,P,FT01,NULL
130225002-F,CHT215-V-F,,P,W001,NULL
130225002-WC,CHT215-V-WC,,P,W001,NULL
130255013,PTTX199-V,SWT-C2,P,FT01,NULL
130255013-F,PTTX199-V-F,,P,W001,NULL
130255013-WC,PTTX199-V-WC,,P,W001,NULL
130255016,PTTX212-V,SWT-C2,P,FT01,NULL
130255016-F,PTTX212-V-F,,P,W001,NULL
130255016-WC,PTTX212-V-WC,,P,W001,NULL
130255018,CHT214-V,SWT-B1,P,FT01,NULL
130255018-F,CHT214-V-F,,P,W001,NULL
130255018-WC,CHT214-V-WC,,P,W001,NULL
130255019,PTTJ253-V,SWT-B1,P,FT01,NULL
130255019-F,PTTJ253-V-F,,P,W001,NULL
130255019-WC,PTTJ253-V-WC,,P,W001,NULL
130295046,C-L00-427-Z11-V,SWT-B1,P,FT01,NULL
130295046-F,C-L00-427-Z11-V-F,,P,W001,NULL
130295046-WC,C-L00-427-Z11-V-WC,,P,W001,NULL
130325002,G4DYA0000135-V,SWT-B2,P,FT01,NULL
130325002-F,G4DYA0000135-V-F,,P,W001,NULL
130325002-WC,G4DYA0000135-V-WC,,P,W001,NULL
130365025,190252-0000-V,SWT-A2,P,FT01,NULL
130365025-F,190252-0000-V-F,,P,W001,NULL
130365025-WC,190252-0000-V-WC,,P,W001,NULL
130365026,190253-0000-V,SWT-A2,P,FT01,NULL
130365026-F,190253-0000-V-F,,P,W001,NULL
130365026-WC,190253-0000-V-WC,,P,W001,NULL
130365027,190254-0000-V,SWT-A2,P,FT01,NULL
130365027-F,190254-0000-V-F,,P,W001,NULL
130365027-WC,190254-0000-V-WC,,P,W001,NULL
130365030,ZD31A45-V,SWT-B1,P,FT01,NULL
130365030-F,ZD31A45-V-F,,P,W001,NULL
130365030-WC,ZD31A45-V-WC,,P,W001,NULL
130365031,ZD31A46-V,SWT-A1,P,FT01,NULL
130365031-F,ZD31A46-V-F,,P,W001,NULL
130365031-WC,ZD31A46-V-WC,,P,W001,NULL
130365032,ZD31B47-V,SWT-A1,P,FT01,NULL
130365032-F,ZD31B47-V-F,,P,W001,NULL
130365032-WC,ZD31B47-V-WC,,P,W001,NULL
130365034,PTTJ200-V,SWT-B2,P,FT01,NULL
130365034-F,PTTJ200-V-F,,P,W001,NULL
130365034-WC,PTTJ200-V-WC,,P,W001,NULL
130365036,81351226-V,SWT-B1,P,FT01,NULL
130365036-F,81351226-V-F,,P,W001,NULL
130365036-WC,81351226-V-WC,,P,W001,NULL
130365037,81351226M-V,SWT-B1,P,FT01,NULL
130365037-F,81351226M-V-F,,P,W001,NULL
130365037-WC,81351226M-V-WC,,P,W001,NULL
130365041,81320036-V,SWT-B1,P,FT01,NULL
130365041-F,81320036-V-F,,P,W001,NULL
130365041-WC,81320036-V-WC,,P,W001,NULL
130435001,RTRNWA003VBPZ-V,SWT-B1,P,FT01,NULL
130435001-F,RTRNWA003VBPZ-V-F,,P,W001,NULL
130435001-WC,RTRNWA003VBPZ-V-WC,,P,W001,NULL
130585034,RK2-3482-01-V,SWT-B1,P,FT01,NULL
130585034-F,RK2-3482-01-V-F,,P,W001,NULL
130585034-WC,RK2-3482-01-V-WC,,P,W001,NULL
130585035,RK2-3481-01-V,SWT-B1,P,FT01,NULL
130585035-F,RK2-3481-01-V-F,,P,W001,NULL
130585035-WC,RK2-3481-01-V-WC,,P,W001,NULL
130585041,68-CA93A-V,SWT-B2,P,FT01,NULL
130585041-F,68-CA93A-V-F,,P,W001,NULL
130585041-WC,68-CA93A-V-WC,,P,W001,NULL
130585042,68-CA94A-V,SWT-B2,P,FT01,NULL
130585042-F,68-CA94A-V-F,,P,W001,NULL
130585042-WC,68-CA94A-V-WC,,P,W001,NULL
130585043,68-CA89B-V,SWT-B1,P,FT01,NULL
130585043-F,68-CA89B-V-F,,P,W001,NULL
130585043-WC,68-CA89B-V-WC,,P,W001,NULL
130585045,RK2-2920-03-V,SWT-B1,P,FT01,NULL
130585045-F,RK2-2920-03-V-F,,P,W001,NULL
130585045-WC,RK2-2920-03-V-WC,,P,W001,NULL
130585046,RK2-2922-03-V,SWT-B1,P,FT01,NULL
130585046-F,RK2-2922-03-V-F,,P,W001,NULL
130585046-WC,RK2-2922-03-V-WC,,P,W001,NULL
130585047,RK2-2289-01-V,SWT-A1,P,FT01,NULL
130585047-F,RK2-2289-01-V-F,,P,W001,NULL
130585047-WC,RK2-2289-01-V-WC,,P,W001,NULL
130585048,RK2-1886-01-V,SWT-B3,P,FT01,NULL
130585048-F,RK2-1886-01-V-F,,P,W001,NULL
130585048-WC,RK2-1886-01-V-WC,,P,W001,NULL
130585049,RK2-1887-01-V,SWT-B3,P,FT01,NULL
130585049-F,RK2-1887-01-V-F,,P,W001,NULL
130585049-WC,RK2-1887-01-V-WC,,P,W001,NULL
130585050,RK2-2745-01-V,SWT-B2,P,FT01,NULL
130585050-F,RK2-2745-01-V-F,,P,W001,NULL
